clip_name,Cluster
American_Idiot_guitar.mp3_1,0
American_Idiot_guitar.mp3_2,0
American_Idiot_guitar.mp3_3,0
American_Idiot_guitar.mp3_4,0
American_Idiot_guitar.mp3_5,0
American_Idiot_guitar.mp3_6,0
angry_guitar.mp3_1,-1
angry_guitar.mp3_2,1
angry_guitar.mp3_3,0
angry_guitar.mp3_4,0
angry_guitar.mp3_5,0
angry_guitar.mp3_6,1
Back_In_The_USA_guitar.mp3_1,0
Back_In_The_USA_guitar.mp3_2,0
Back_In_The_USA_guitar.mp3_3,0
Back_In_The_USA_guitar.mp3_4,-1
Back_In_The_USA_guitar.mp3_5,0
Back_In_The_USA_guitar.mp3_6,0
Basket_Case_guitar.mp3_1,0
Basket_Case_guitar.mp3_2,0
Basket_Case_guitar.mp3_3,0
Basket_Case_guitar.mp3_4,0
Basket_Case_guitar.mp3_5,2
Basket_Case_guitar.mp3_6,2
blur2_guitar.mp3_1,0
blur2_guitar.mp3_2,0
blur2_guitar.mp3_3,3
blur2_guitar.mp3_4,0
blur2_guitar.mp3_5,-1
blur2_guitar.mp3_6,-1
brain_stew_guitar.mp3_1,0
brain_stew_guitar.mp3_2,0
brain_stew_guitar.mp3_3,0
brain_stew_guitar.mp3_4,0
brain_stew_guitar.mp3_5,0
brain_stew_guitar.mp3_6,0
burn_it_to_the_ground_guitar.mp3_1,0
burn_it_to_the_ground_guitar.mp3_2,0
burn_it_to_the_ground_guitar.mp3_3,0
burn_it_to_the_ground_guitar.mp3_4,0
burn_it_to_the_ground_guitar.mp3_5,-1
burn_it_to_the_ground_guitar.mp3_6,0
Can't_Stop_guitar.mp3_1,4
Can't_Stop_guitar.mp3_2,-1
Can't_Stop_guitar.mp3_3,3
Can't_Stop_guitar.mp3_4,4
Can't_Stop_guitar.mp3_5,-1
Can't_Stop_guitar.mp3_6,4
carnival_of_rust_guitar.mp3_1,0
carnival_of_rust_guitar.mp3_2,0
carnival_of_rust_guitar.mp3_3,-1
carnival_of_rust_guitar.mp3_4,-1
carnival_of_rust_guitar.mp3_5,0
carnival_of_rust_guitar.mp3_6,0
carry_on_my_wayward_son_guitar.mp3_1,0
carry_on_my_wayward_son_guitar.mp3_2,0
carry_on_my_wayward_son_guitar.mp3_3,0
carry_on_my_wayward_son_guitar.mp3_4,-1
